sample_idx,label,gs_spearman_r,ts_spearman_r,sensitivity_nb_clicks_1week,sensitivity_product_price,sensitivity_click_hour,sensitivity_click_dow,sensitivity_device_type_enc,sensitivity_product_country_enc,sensitivity_product_age_group_enc,sensitivity_product_gender_enc,sensitivity_product_category_1_enc,sensitivity_partner_id_enc,gs_attr_nb_clicks_1week,gs_attr_product_price,gs_attr_click_hour,gs_attr_click_dow,gs_attr_device_type_enc,gs_attr_product_country_enc,gs_attr_product_age_group_enc,gs_attr_product_gender_enc,gs_attr_product_category_1_enc,gs_attr_partner_id_enc,ts_attr_nb_clicks_1week,ts_attr_product_price,ts_attr_click_hour,ts_attr_click_dow,ts_attr_device_type_enc,ts_attr_product_country_enc,ts_attr_product_age_group_enc,ts_attr_product_gender_enc,ts_attr_product_category_1_enc,ts_attr_partner_id_enc
189,1,-0.1111111111111111,0.2901294265928297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5762787e-07,0.0,0.0,0.0028012535,0.025211278,0.0028012535,0.0028012535,0.0028012535,0.0028012535,0.0028012535,0.0028012535,0.0028012535,0.0028012535,3.002584e-06,0.055526216,0.0047254274,0.0010353953,0.010950794,0.014031303,0.00091302546,0.013037537,0.011618001,0.0010377795
190,1,0.058025885318565944,0.8545454545454544,0.16606611,0.28481287,0.1059075,0.041026175,0.04397309,0.7112058,0.5046017,0.2840697,0.7149763,0.55941015,0.005492826,0.085037045,0.005492826,0.005492826,0.005492826,0.005492826,0.005492826,0.005492826,0.005492826,0.005492826,0.023748636,0.8183268,0.02597461,0.0032412217,0.010072128,0.18316613,0.04432958,0.041436058,0.11443242,0.08711304
193,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5084292e-07,4.0575865e-06,4.5084292e-07,4.5084292e-07,4.5084292e-07,4.5084292e-07,4.5084292e-07,4.5084292e-07,4.5084292e-07,4.5084292e-07,2.9802323e-09,4.0276347e-05,3.7141144e-06,3.054738e-07,1.44585965e-05,1.4699251e-05,0.00077145995,0.00045943557,2.3344905e-05,0.00034246518
229,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
