sparsity_label,T,sample_idx,label,gsshap_comp,gsshap_suff,gsshap_gini,gsshap_npl,gsshap_stability,timeshap_comp,timeshap_suff,timeshap_stability,winshap_comp
T32-Rich,32,181,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.8304617478203533,0.0
T32-Rich,32,182,0,-0.996167004108429,0.4386347830295563,-1.003125,4,,-0.996167004108429,0.2549886703491211,0.9922898183354456,-0.996167004108429
T32-Rich,32,183,0,-0.9943906664848328,0.0016299777198582888,0.40395133641603875,4,0.9999999999999999,-0.9943906664848328,0.2492891401052475,0.9978876214617657,-0.9943906664848328
T32-Rich,32,184,0,-0.9902883172035217,0.45060375332832336,-1.003125,4,,-0.9902883172035217,0.2549246847629547,0.9902830587241233,-0.9902883172035217
T32-Rich,32,185,0,-0.9950048923492432,0.25091639161109924,0.48914250084367894,4,1.0,-0.9950048923492432,0.25123926997184753,0.9933460076045626,-0.9950048923492432
T32-Rich,32,186,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.8661602470138128,0.0
T32-Rich,32,187,0,-0.9974100589752197,0.24955421686172485,0.3690134478832945,4,0.641025641025641,-0.9974100589752197,0.2496321052312851,0.9951415293620615,-0.9974100589752197
T32-Rich,32,188,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9522069589218157,0.0
T32-Rich,32,189,1,-0.7598291039466858,0.2171795815229416,0.4260204175437048,4,0.6447368421052633,-0.7598291039466858,0.2230122983455658,0.9898605830164765,-0.7598291039466858
T32-Rich,32,190,0,-0.24987921118736267,0.7838559746742249,0.3181401244660629,4,0.9358974358974358,-0.9995168447494507,0.24993236362934113,0.9958808618504436,-0.9995168447494507
T32-Rich,32,191,0,-0.6812319755554199,0.2823363244533539,-1.003125,4,,-0.6812319755554199,0.1900140941143036,0.9917617237008871,-0.6812319755554199
T32-Rich,32,192,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9885091443619519,0.0
T32-Rich,32,193,0,-0.7496469020843506,0.4997851848602295,0.36282334237217295,4,0.9824561403508772,-0.9995728731155396,0.24994885921478271,0.9979932403886774,-0.9995728731155396
T32-Rich,32,194,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9512039012919297,0.0
T32-Rich,32,195,0,-0.9906548261642456,0.003261109348386526,0.5545455828921553,4,0.9999999999999999,-0.9906548261642456,0.2577703297138214,0.9874313476975073,-0.9906548261642456
T32-Rich,32,196,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,197,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9842876050666743,0.0
T32-Rich,32,198,0,-0.9915696382522583,0.4710969924926758,-1.003125,4,,-0.9915696382522583,0.2644338607788086,0.9894381073088296,-0.9915696382522583
T32-Rich,32,199,0,-0.6774139404296875,0.3374197483062744,-1.003125,4,,-0.6774139404296875,0.20227289199829102,0.9940853400929445,-0.6774139404296875
T16-Medium,16,0,1,0.0,0.0,-1.00625,4,,0.0,0.0,,0.0
T16-Medium,16,1,1,0.0,0.0,-1.00625,5,,0.0002662390470504761,0.0,0.797028972597471,0.0
T16-Medium,16,2,1,0.0,0.0,-1.00625,4,,0.0,0.0,,0.0
T16-Medium,16,3,0,-0.9979314208030701,0.0010847703088074923,0.5134418602246864,5,0.8496732026143791,-0.9979225993156433,0.7484485507011414,0.9474272930648767,-0.9979225993156433
T16-Medium,16,4,0,-0.7447148561477661,0.25185325741767883,0.5060606479786744,4,0.9931034482758622,-0.9920434355735779,0.7447148561477661,0.9507829977628633,-0.9920434355735779
